板块代码,板块名称,主力净流入,日期
BK0481,汽车零部件,4262112256.0,2025-12-30
BK0456,家电行业,1831624448.0,2025-12-30
BK0545,通用设备,1804843776.0,2025-12-30
BK0486,文化传媒,1515052704.0,2025-12-30
BK1037,消费电子,1463275776.0,2025-12-30
BK1030,电机,935073888.0,2025-12-30
BK0910,专用设备,774367488.0,2025-12-30
BK0436,纺织服装,695136640.0,2025-12-30
BK0739,工程机械,664687488.0,2025-12-30
BK0464,石油行业,589849088.0,2025-12-30
BK0736,通信服务,548333424.0,2025-12-30
BK0475,银行,487143168.0,2025-12-30
BK1036,半导体,448185344.0,2025-12-30
BK1042,医药商业,256373984.0,2025-12-30
BK0458,仪器仪表,221281280.0,2025-12-30
BK0735,计算机设备,203957824.0,2025-12-30
BK1046,游戏,166401728.0,2025-12-30
BK0470,造纸印刷,137380288.0,2025-12-30
BK0728,环保行业,99769360.0,2025-12-30
BK0731,化肥行业,46980496.0,2025-12-30
BK1035,美容护理,43751416.0,2025-12-30
BK0427,公用事业,26782867.0,2025-12-30
BK0476,装修建材,9639584.0,2025-12-30
BK1015,能源金属,-3972496.0,2025-12-30
BK0471,化纤行业,-10502384.0,2025-12-30
BK0440,家用轻工,-47489056.0,2025-12-30
BK1017,采掘行业,-54997936.0,2025-12-30
BK1016,汽车服务,-55069899.0,2025-12-30
BK0733,包装材料,-62327392.0,2025-12-30
BK1018,橡胶制品,-92047648.0,2025-12-30
BK0424,水泥建材,-111181024.0,2025-12-30
BK0734,珠宝首饰,-111318845.0,2025-12-30
BK1045,房地产服务,-111802779.0,2025-12-30
BK1028,燃气,-129292464.0,2025-12-30
BK0539,综合行业,-174534496.0,2025-12-30
BK0437,煤炭行业,-184344720.0,2025-12-30
BK0725,装修装饰,-190093344.0,2025-12-30
BK0421,铁路公路,-190383104.0,2025-12-30
BK0429,交运设备,-212159243.0,2025-12-30
BK0726,工程咨询服务,-246679280.0,2025-12-30
BK0450,航运港口,-257554576.0,2025-12-30
BK0740,教育,-261572194.0,2025-12-30
BK1029,汽车整车,-265104144.0,2025-12-30
BK0420,航空机场,-269360144.0,2025-12-30
BK0730,农药兽药,-270622512.0,2025-12-30
BK1043,专业服务,-282388832.0,2025-12-30
BK1040,中药,-294294320.0,2025-12-30
BK0484,贸易行业,-326594080.0,2025-12-30
BK0546,玻璃玻纤,-353191856.0,2025-12-30
BK0451,房地产开发,-395580272.0,2025-12-30
BK0485,旅游酒店,-398724656.0,2025-12-30
BK0479,钢铁行业,-402201856.0,2025-12-30
BK1019,化学原料,-433602720.0,2025-12-30
BK1041,医疗器械,-475073568.0,2025-12-30
BK1034,电源设备,-497723472.0,2025-12-30
BK0729,船舶制造,-530188176.0,2025-12-30
BK0438,食品饮料,-545696976.0,2025-12-30
BK0738,多元金融,-632804304.0,2025-12-30
BK0447,互联网服务,-679937536.0,2025-12-30
BK0422,物流行业,-681101056.0,2025-12-30
BK1044,生物制品,-685012768.0,2025-12-30
BK0727,医疗服务,-713482320.0,2025-12-30
BK1039,电子化学品,-739346384.0,2025-12-30
BK0473,证券,-745954864.0,2025-12-30
BK0457,电网设备,-869886144.0,2025-12-30
BK0425,工程建设,-904072384.0,2025-12-30
BK0433,农牧饲渔,-953762160.0,2025-12-30
BK1020,非金属材料,-958927360.0,2025-12-30
BK0732,贵金属,-1027818832.0,2025-12-30
BK1038,光学光电子,-1049133376.0,2025-12-30
BK0482,商业百货,-1093230048.0,2025-12-30
BK0428,电力行业,-1120156144.0,2025-12-30
BK0477,酿酒行业,-1197717376.0,2025-12-30
BK0454,塑料制品,-1272264736.0,2025-12-30
BK0465,化学制药,-1406596176.0,2025-12-30
BK0478,有色金属,-1442319872.0,2025-12-30
BK0538,化学制品,-1461549824.0,2025-12-30
BK0474,保险,-1582731600.0,2025-12-30
BK1027,小金属,-1960233296.0,2025-12-30
BK0737,软件开发,-2235410688.0,2025-12-30
BK1033,电池,-2388981248.0,2025-12-30
BK0480,航天航空,-3128418816.0,2025-12-30
BK1031,光伏设备,-3224641792.0,2025-12-30
BK1032,风电设备,-3581183904.0,2025-12-30
BK0459,电子元件,-4751661824.0,2025-12-30
BK0448,通信设备,-5537212160.0,2025-12-30
